Region,Value,Year
Abai Region,73.8,2022
Akmola Region,73.48,2022
Aktobe Region,74.85,2022
Almaty Region,73.87,2022
Atyrau Region,74.66,2022
West Kazakhstan Region,73.76,2022
Jambyl Region,74.87,2022
Jetisu Region,74.38,2022
Karaganda Region,72.3,2022
Kostanay Region,72.68,2022
Kyzylorda Region,74.21,2022
Mangystau Region,75.83,2022
Pavlodar Region,72.9,2022
North Kazakhstan Region,72.27,2022
Turkistan Region,75.04,2022
Ulytau Region,71.44,2022
East Kazakhstan Region,72.37,2022
Astana city,77.3,2022
Almaty city,77.32,2022
Shymkent city,75.61,2022
